"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.06.2022","1.560,50","1.686,88","1.783,62","1.504,12","84,65K","-7,50%"
"01.05.2022","1.687,00","1.684,12","1.749,38","1.578,00","93,35K","0,13%"
"01.04.2022","1.684,75","1.600,00","1.734,00","1.560,50","1,57M","4,11%"
"01.03.2022","1.618,25","1.645,25","1.736,25","1.613,50","","-1,58%"
"01.02.2022","1.644,25","1.489,62","1.758,88","1.485,00","107,15K","10,32%"
"01.01.2022","1.490,50","1.340,88","1.496,75","1.340,62","0,04K","12,17%"
"01.12.2021","1.328,75","1.222,00","1.375,75","1.216,25","1,88M","9,16%"
"01.11.2021","1.217,25","1.248,38","1.289,12","1.181,62","72,91K","-1,50%"
"01.10.2021","1.235,75","1.255,00","1.262,50","1.184,50","2,51M","-1,69%"
"01.09.2021","1.257,00","1.294,00","1.308,00","1.249,12","","-2,82%"
"01.08.2021","1.293,50","1.350,12","1.379,75","1.277,62","","-4,07%"
"01.07.2021","1.348,38","1.402,50","1.422,88","1.300,62","","-3,24%"
"01.06.2021","1.393,50","1.543,62","1.623,00","1.268,25","","-8,83%"
"01.05.2021","1.528,50","1.547,75","1.667,12","1.489,75","","-0,46%"
"01.04.2021","1.535,62","1.447,25","1.574,75","1.378,50","","6,88%"
"01.03.2021","1.436,75","1.415,25","1.459,88","1.364,25","","2,05%"
"01.02.2021","1.407,88","1.376,50","1.445,75","1.338,12","","3,19%"
"01.01.2021","1.364,38","1.310,25","1.436,25","1.298,25","","4,13%"
"01.12.2020","1.310,25","1.169,62","1.320,60","1.142,62","","12,11%"
"01.11.2020","1.168,75","1.060,25","1.199,62","1.041,62","","10,58%"
"01.10.2020","1.056,88","1.023,38","1.093,88","1.013,00","","3,44%"
"01.09.2020","1.021,75","950,62","1.046,50","942,88","","7,27%"
"01.08.2020","952,50","891,75","966,88","865,38","","6,16%"
"01.07.2020","897,25","883,75","909,75","870,62","","1,61%"
"01.06.2020","883,00","844,00","891,00","834,12","","5,06%"
"01.05.2020","840,50","854,88","861,12","828,62","","-1,75%"
"01.04.2020","855,50","885,75","886,88","808,38","","-3,39%"
"01.03.2020","885,50","891,88","912,25","821,12","","-0,85%"
"01.02.2020","893,12","871,12","902,00","868,88","","2,35%"
"01.01.2020","872,62","943,50","954,50","872,38","","-7,51%"
"01.12.2019","943,50","876,62","943,50","867,62","","7,63%"
"01.11.2019","876,62","931,00","942,12","876,12","","-5,92%"
"01.10.2019","931,75","904,12","945,38","903,38","","3,04%"
"01.09.2019","904,25","866,38","906,62","851,12","","4,15%"
"01.08.2019","868,25","880,75","896,62","852,62","","-1,36%"
"01.07.2019","880,25","915,12","936,38","874,62","","-0,18%"
"01.06.2019","881,88","876,12","923,00","848,38","","0,41%"
"01.05.2019","878,25","853,62","892,62","791,38","","2,78%"
"01.04.2019","854,50","883,88","907,12","851,38","","-3,32%"
"01.03.2019","883,88","910,00","924,38","883,12","","-2,87%"
"01.02.2019","910,00","915,75","934,38","893,12","","-0,63%"
"01.01.2019","915,75","894,00","927,62","891,12","","2,43%"
"01.12.2018","894,00","919,25","928,00","867,00","","0,08%"
"01.11.2018","893,25","850,25","900,75","845,75","","4,90%"
"01.10.2018","851,50","845,00","892,00","840,00","","0,86%"
"01.09.2018","844,25","845,50","859,25","812,25","","-0,15%"
"01.08.2018","845,50","907,50","907,50","829,00","","-6,83%"
"01.07.2018","907,50","865,25","911,50","810,75","","5,19%"
"01.06.2018","862,75","1.020,00","1.026,50","842,50","","-15,38%"
"01.05.2018","1.019,50","1.049,00","1.055,50","992,50","","-2,77%"
"01.04.2018","1.048,50","1.046,00","1.067,50","983,50","","0,36%"
"01.03.2018","1.044,75","1.055,00","1.082,50","1.009,25","","-0,97%"
"01.02.2018","1.055,00","996,75","1.059,50","967,75","","5,84%"
"01.01.2018","996,75","967,50","1.004,75","944,50","","3,56%"
"01.12.2017","962,50","986,88","1.014,88","946,62","","-2,35%"
"01.11.2017","985,62","984,75","1.007,62","967,12","","0,10%"
"01.10.2017","984,62","967,38","1.003,12","952,62","","1,83%"
"01.09.2017","966,88","947,62","986,88","938,62","","2,14%"
"01.08.2017","946,62","988,50","992,62","917,38","","-5,18%"
"01.07.2017","998,38","956,62","1.032,62","956,12","","5,27%"
"01.06.2017","948,38","916,38","950,38","900,38","","3,55%"
"01.05.2017","915,88","961,88","988,50","909,62","","-4,31%"
"01.04.2017","957,12","946,38","971,88","929,88","","1,19%"
"01.03.2017","945,88","1.036,88","1.051,88","944,38","","-8,73%"
"01.02.2017","1.036,38","1.024,12","1.063,40","1.009,38","","1,15%"
"01.01.2017","1.024,60","1.005,40","1.079,90","992,75","","1,94%"
"01.12.2016","1.005,10","1.034,88","1.061,38","987,88","","-2,77%"
"01.11.2016","1.033,75","1.011,75","1.064,88","975,62","","2,16%"
"01.10.2016","1.011,88","952,75","1.019,88","937,38","","5,93%"
"01.09.2016","955,25","943,88","993,88","934,12","","1,42%"
"01.08.2016","941,88","1.009,88","1.041,12","938,12","","-7,60%"
"01.07.2016","1.019,38","1.177,25","1.178,50","973,75","","-13,19%"
"01.06.2016","1.174,25","1.075,25","1.207,75","1.068,62","","8,94%"
"01.05.2016","1.077,88","1.028,12","1.097,88","1.008,62","","4,66%"
"01.04.2016","1.029,88","909,88","1.046,12","901,12","","12,85%"
"01.03.2016","912,62","861,25","916,88","856,12","","5,98%"
"01.02.2016","861,12","882,88","889,88","859,63","","-2,41%"
"01.01.2016","882,38","863,13","887,88","852,38","","2,17%"
"01.12.2015","863,63","880,88","909,63","854,25","","-2,04%"
"01.11.2015","881,63","887,88","890,88","844,38","","-0,40%"
"01.10.2015","885,13","891,25","919,63","868,38","","-0,73%"
"01.09.2015","891,63","884,50","901,75","854,88","","0,51%"
"01.08.2015","887,13","950,38","1.009,13","871,13","","-6,92%"
"01.07.2015","953,13","1.048,00","1.054,75","937,88","","-9,07%"
"01.06.2015","1.048,25","931,63","1.051,13","921,63","","12,19%"
"01.05.2015","934,38","977,50","990,38","920,63","","-4,38%"
"01.04.2015","977,13","972,75","994,88","944,75","","0,46%"
"01.03.2015","972,63","1.030,13","1.038,88","953,63","","-5,60%"
"01.02.2015","1.030,38","961,38","1.037,88","959,13","","7,15%"
"01.01.2015","961,63","1.019,63","1.061,63","955,13","","-5,99%"
"01.12.2014","1.022,88","1.010,63","1.067,75","983,88","","0,86%"
"01.11.2014","1.014,13","1.045,63","1.086,13","995,63","","-2,78%"
"01.10.2014","1.043,13","911,00","1.059,13","904,38","","14,33%"
"01.09.2014","912,38","1.020,50","1.037,88","905,63","","-10,92%"
"01.08.2014","1.024,25","1.094,50","1.170,38","1.019,88","","-6,73%"
"01.07.2014","1.098,13","1.327,50","1.334,75","1.094,25","","-17,28%"
"01.06.2014","1.327,50","1.487,13","1.511,63","1.315,38","","-10,97%"
"01.05.2014","1.491,13","1.510,63","1.536,63","1.442,13","","-1,34%"
"01.04.2014","1.511,38","1.463,25","1.531,63","1.456,13","","3,35%"
"01.03.2014","1.462,38","1.417,13","1.466,13","1.365,75","","3,41%"
"01.02.2014","1.414,13","1.281,88","1.443,75","1.278,38","","10,15%"
"01.01.2014","1.283,88","1.289,38","1.329,88","1.260,13","","-0,43%"
"01.12.2013","1.289,38","1.335,88","1.353,38","1.289,38","","-3,56%"
"01.11.2013","1.337,00","1.265,88","1.340,88","1.247,13","","5,64%"
"01.10.2013","1.265,63","1.278,38","1.318,63","1.261,88","","-1,23%"
"01.09.2013","1.281,38","1.393,88","1.408,38","1.281,38","","-5,53%"
"01.08.2013","1.356,38","1.247,63","1.409,38","1.186,88","","8,75%"
"01.07.2013","1.247,25","1.427,13","1.526,13","1.237,50","","-12,74%"
"01.06.2013","1.429,38","1.509,38","1.558,50","1.401,50","","-5,35%"
"01.05.2013","1.510,13","1.396,13","1.546,38","1.365,63","","8,14%"
"01.04.2013","1.396,50","1.406,75","1.441,13","1.354,63","","-0,74%"
"01.03.2013","1.406,88","1.449,00","1.484,13","1.397,63","","-2,89%"
"01.02.2013","1.448,75","1.470,88","1.516,38","1.404,63","","-1,49%"
"01.01.2013","1.470,63","1.432,63","1.484,00","1.352,63","","4,41%"
"01.12.2012","1.408,50","1.440,63","1.508,63","1.400,88","","-2,23%"
"01.11.2012","1.440,63","1.551,00","1.571,13","1.372,38","","-7,11%"
"01.10.2012","1.550,88","1.592,00","1.596,75","1.485,88","","-2,58%"
"01.09.2012","1.591,88","1.772,63","1.788,88","1.557,63","","-9,26%"
"01.08.2012","1.754,37","1.673,63","1.770,62","1.570,75","","4,82%"
"01.07.2012","1.673,75","1.480,88","1.777,62","1.480,88","","13,02%"
"01.06.2012","1.480,88","1.438,38","1.486,38","1.431,13","","10,16%"
"01.05.2012","1.344,25","1.501,00","1.512,38","1.339,63","","-10,44%"
"01.04.2012","1.500,88","1.406,63","1.506,63","1.404,00","","7,06%"
"01.03.2012","1.401,88","1.315,63","1.415,88","1.306,38","","6,27%"
"01.02.2012","1.319,13","1.202,13","1.324,13","1.202,13","","9,89%"
"01.01.2012","1.200,38","1.211,88","1.244,38","1.150,38","","-0,95%"
"01.12.2011","1.211,88","1.133,63","1.218,63","1.094,63","","6,93%"
"01.11.2011","1.133,38","1.214,88","1.231,38","1.102,88","","-6,64%"
"01.10.2011","1.214,00","1.176,38","1.275,63","1.152,25","","3,31%"
"01.09.2011","1.175,13","1.454,38","1.456,75","1.175,13","","-19,24%"
"01.08.2011","1.455,13","1.352,75","1.464,88","1.276,75","","7,57%"
"01.07.2011","1.352,75","1.303,63","1.407,88","1.299,75","","3,76%"
"01.06.2011","1.303,75","1.384,13","1.419,38","1.287,63","","-5,69%"
"01.05.2011","1.382,38","1.391,00","1.402,13","1.306,75","","-0,90%"
"01.04.2011","1.394,88","1.416,50","1.416,50","1.316,88","","-1,54%"
"01.03.2011","1.416,63","1.368,25","1.431,75","1.269,00","","3,72%"
"01.02.2011","1.365,88","1.413,50","1.455,75","1.296,25","","-3,19%"
"01.01.2011","1.410,88","1.395,75","1.432,38","1.355,88","","0,50%"
"01.12.2010","1.403,88","1.243,38","1.403,88","1.240,38","","12,68%"
"01.11.2010","1.245,88","1.241,75","1.348,00","1.175,38","","0,34%"
"01.10.2010","1.241,63","1.102,63","1.248,50","1.042,13","","12,61%"
"01.09.2010","1.102,63","1.009,88","1.143,38","1.000,88","","9,10%"
"01.08.2010","1.010,63","1.013,25","1.053,88","993,63","","-0,32%"
"01.07.2010","1.013,88","934,75","1.022,25","926,50","","8,51%"
"01.06.2010","934,38","940,75","964,50","926,38","","-0,69%"
"01.05.2010","940,88","994,13","999,88","927,63","","-5,89%"
"01.04.2010","999,75","940,38","1.019,88","932,63","","6,31%"
"01.03.2010","940,38","966,63","977,38","922,13","","-2,31%"
