Data;Dolar,
19/03/2018;3,2911
20/03/2018;3,2981
21/03/2018;3,2921
22/03/2018;3,3033
23/03/2018;3,3041
26/03/2018;3,3034
27/03/2018;3,3256
28/03/2018;3,3380
29/03/2018;3,3238
02/04/2018;3,3104
03/04/2018;3,3139
04/04/2018;3,3538
05/04/2018;3,3196
06/04/2018;3,3666
09/04/2018;3,3903
10/04/2018;3,4195
11/04/2018;3,4052
12/04/2018;3,3858
13/04/2018;3,4105
16/04/2018;3,4263
17/04/2018;3,4041
18/04/2018;3,3844
19/04/2018;3,3977
20/04/2018;3,4101
23/04/2018;3,4421
24/04/2018;3,4667
25/04/2018;3,5040
26/04/2018;3,4977
27/04/2018;3,4676
30/04/2018;3,4811
02/05/2018;3,5424
03/05/2018;3,5484
04/05/2018;3,5308
07/05/2018;3,5458
08/05/2018;3,5788
09/05/2018;3,5943
10/05/2018;3,5566
11/05/2018;3,5716
14/05/2018;3,6097
15/05/2018;3,6753
16/05/2018;3,6803
17/05/2018;3,6874
18/05/2018;3,7503
21/05/2018;3,7072
22/05/2018;3,6502
23/05/2018;3,6507
24/05/2018;3,6436
25/05/2018;3,6587
28/05/2018;3,7092
29/05/2018;3,7289
30/05/2018;3,7370
01/06/2018;3,7413
04/06/2018;3,7424
05/06/2018;3,7752
06/06/2018;3,8193
07/06/2018;3,9000
08/06/2018;3,7859
11/06/2018;3,6913
12/06/2018;3,7044
13/06/2018;3,7054
14/06/2018;3,7057
15/06/2018;3,7738
18/06/2018;3,7543
19/06/2018;3,7566
20/06/2018;3,7335
21/06/2018;3,7894
22/06/2018;3,7663
25/06/2018;3,7760
26/06/2018;3,7721
27/06/2018;3,8358
28/06/2018;3,8521
29/06/2018;3,8558
02/07/2018;3,9055
03/07/2018;3,8920
04/07/2018;3,9058
05/07/2018;3,9192
06/07/2018;3,9264
09/07/2018;3,8692
10/07/2018;3,8452
11/07/2018;3,8417
12/07/2018;3,8564
13/07/2018;3,8745
16/07/2018;3,8579
17/07/2018;3,8671
18/07/2018;3,8474
19/07/2018;3,8847
20/07/2018;3,7793
23/07/2018;3,7915
24/07/2018;3,7459
25/07/2018;3,7120
26/07/2018;3,7243
27/07/2018;3,7164
30/07/2018;3,7155
31/07/2018;3,7549
01/08/2018;3,7491
02/08/2018;3,7645
03/08/2018;3,7201
06/08/2018;3,7214
07/08/2018;3,7118
08/08/2018;3,7519
09/08/2018;3,8030
10/08/2018;3,8472
13/08/2018;3,8988
14/08/2018;3,8812
15/08/2018;3,9134
16/08/2018;3,8810
17/08/2018;3,9389
20/08/2018;3,9430
21/08/2018;3,9873
22/08/2018;4,740
23/08/2018;4,727
24/08/2018;4,854
27/08/2018;4,687
28/08/2018;4,1192
29/08/2018;4,1353
30/08/2018;4,1812
31/08/2018;4,1353
03/09/2018;4,1279
04/09/2018;4,1652
05/09/2018;4,1609
06/09/2018;4,1460
10/09/2018;4,1007
11/09/2018;4,1641
12/09/2018;4,1259
13/09/2018;4,1637
14/09/2018;4,1879
17/09/2018;4,1695
18/09/2018;4,1369
19/09/2018;4,1351
20/09/2018;4,997
21/09/2018;4,728
24/09/2018;4,594
25/09/2018;4,1286
26/09/2018;4,570
27/09/2018;4,92
28/09/2018;4,39
01/10/2018;4,273
02/10/2018;3,9505
03/10/2018;3,8542
04/10/2018;3,9047
05/10/2018;3,8699
08/10/2018;3,7588
09/10/2018;3,7391
10/10/2018;3,7510
11/10/2018;3,7460
15/10/2018;3,7332
16/10/2018;3,7079
17/10/2018;3,7008
18/10/2018;3,6963
19/10/2018;3,7079
22/10/2018;3,6903
23/10/2018;3,7080
24/10/2018;3,7060
25/10/2018;3,7014
26/10/2018;3,6753
29/10/2018;3,6368
30/10/2018;3,7019
31/10/2018;3,7177
01/11/2018;3,6973
05/11/2018;3,7048
06/11/2018;3,7492
07/11/2018;3,7592
08/11/2018;3,7391
09/11/2018;3,7506
12/11/2018;3,7478
13/11/2018;3,7792
14/11/2018;3,7924
16/11/2018;3,7525
19/11/2018;3,7553
20/11/2018;3,7591
21/11/2018;3,7872
22/11/2018;3,8103
23/11/2018;3,8081
26/11/2018;3,8655
27/11/2018;3,8925
28/11/2018;3,8631
29/11/2018;3,8568
30/11/2018;3,8633
03/12/2018;3,8285
04/12/2018;3,8313
05/12/2018;3,8561
06/12/2018;3,9178
07/12/2018;3,8964
10/12/2018;3,9110
11/12/2018;3,9013
12/12/2018;3,8629
13/12/2018;3,8790
14/12/2018;3,9090
17/12/2018;3,9121
18/12/2018;3,8997
19/12/2018;3,8907
20/12/2018;3,8443
21/12/2018;3,8671
24/12/2018;3,8855
26/12/2018;3,9258
27/12/2018;3,9330
28/12/2018;3,8748
31/12/2018;3,8748
02/01/2019;3,8595
03/01/2019;3,7683
04/01/2019;3,7627
07/01/2019;3,7062
08/01/2019;3,7208
09/01/2019;3,6931
10/01/2019;3,6869
11/01/2019;3,7141
14/01/2019;3,7260
15/01/2019;3,7049
16/01/2019;3,7197
17/01/2019;3,7591
18/01/2019;3,7486
21/01/2019;3,7705
22/01/2019;3,7615
23/01/2019;3,7994
24/01/2019;3,7815
25/01/2019;3,7626
28/01/2019;3,7676
29/01/2019;3,7370
30/01/2019;3,7151
31/01/2019;3,6519
01/02/2019;3,6694
04/02/2019;3,6756
05/02/2019;3,6741
06/02/2019;3,7019
07/02/2019;3,7193
08/02/2019;3,7184
11/02/2019;3,7391
12/02/2019;3,7296
13/02/2019;3,7277
14/02/2019;3,7756
15/02/2019;3,7155
18/02/2019;3,7316
19/02/2019;3,7206
20/02/2019;3,7100
21/02/2019;3,7595
22/02/2019;3,7430
25/02/2019;3,7285
26/02/2019;3,7595
27/02/2019;3,7351
28/02/2019;3,7385
01/03/2019;3,7832
06/03/2019;3,8303
07/03/2019;3,8487
08/03/2019;3,8678
11/03/2019;3,8461
12/03/2019;3,8129
13/03/2019;3,8265
14/03/2019;3,8327
15/03/2019;3,8344
18/03/2019;3,8111
19/03/2019;3,7762
20/03/2019;3,7897
21/03/2019;3,7967
22/03/2019;3,8815
25/03/2019;3,8770
26/03/2019;3,8646
27/03/2019;3,9389
28/03/2019;3,9682
29/03/2019;3,8967
01/04/2019;3,8682
02/04/2019;3,8661
03/04/2019;3,8436
04/04/2019;3,8713
05/04/2019;3,8622
08/04/2019;3,8658
