Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 06/06/2025 / Data final: 06/06/2025.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Taxa média;Taxa mediana;Taxa modal;Desvio padrão;Índice de curtose;
06/06/2025;14,65;1,00054266;1.390.862.470.295,37;869;14,65;14,64;14,65;0,0201;3838,7533;
