"Date","Price","Open","High","Low","Vol.","Change %"
"04/22/2025","1,261.00","1,261.00","1,261.00","1,261.00","","0.00%"
"04/17/2025","1,261.00","1,261.00","1,261.00","1,261.00","","1.61%"
"04/16/2025","1,241.00","1,241.00","1,241.00","1,241.00","","-1.74%"
"04/15/2025","1,263.00","1,263.00","1,263.00","1,263.00","","-1.48%"
"04/14/2025","1,282.00","1,282.00","1,282.00","1,282.00","","0.63%"
"04/11/2025","1,274.00","1,274.00","1,274.00","1,274.00","","0.39%"
"04/10/2025","1,269.00","1,269.00","1,269.00","1,269.00","","0.79%"
"04/09/2025","1,259.00","1,259.00","1,259.00","1,259.00","","-6.18%"
"04/08/2025","1,342.00","1,342.00","1,342.00","1,342.00","","-4.21%"
"04/07/2025","1,401.00","1,401.00","1,401.00","1,401.00","","-5.91%"
"04/04/2025","1,489.00","1,489.00","1,489.00","1,489.00","","-3.31%"
"04/03/2025","1,540.00","1,540.00","1,540.00","1,540.00","","-2.72%"
"04/02/2025","1,583.00","1,583.00","1,583.00","1,583.00","","-0.25%"
"04/01/2025","1,587.00","1,587.00","1,587.00","1,587.00","","-0.69%"
"03/31/2025","1,598.00","1,598.00","1,598.00","1,598.00","","-0.25%"
"03/28/2025","1,602.00","1,602.00","1,602.00","1,602.00","","-1.17%"
"03/27/2025","1,621.00","1,621.00","1,621.00","1,621.00","","-0.80%"
"03/26/2025","1,634.00","1,634.00","1,634.00","1,634.00","","-0.49%"
"03/25/2025","1,642.00","1,642.00","1,642.00","1,642.00","","-0.61%"
"03/24/2025","1,652.00","1,652.00","1,652.00","1,652.00","","0.55%"
"03/21/2025","1,643.00","1,643.00","1,643.00","1,643.00","","0.49%"
"03/20/2025","1,635.00","1,635.00","1,635.00","1,635.00","","-0.12%"
"03/19/2025","1,637.00","1,637.00","1,637.00","1,637.00","","-0.79%"
"03/18/2025","1,650.00","1,650.00","1,650.00","1,650.00","","-0.48%"
"03/17/2025","1,658.00","1,658.00","1,658.00","1,658.00","","-0.66%"
"03/14/2025","1,669.00","1,669.00","1,669.00","1,669.00","","1.15%"
"03/13/2025","1,650.00","1,650.00","1,650.00","1,650.00","","5.84%"
"03/12/2025","1,559.00","1,559.00","1,559.00","1,559.00","","8.57%"
"03/11/2025","1,436.00","1,436.00","1,436.00","1,436.00","","0.84%"
"03/10/2025","1,424.00","1,424.00","1,424.00","1,424.00","","1.71%"
"03/07/2025","1,400.00","1,400.00","1,400.00","1,400.00","","8.86%"
"03/06/2025","1,286.00","1,286.00","1,286.00","1,286.00","","4.72%"
"03/05/2025","1,228.00","1,228.00","1,228.00","1,228.00","","-2.69%"
"03/04/2025","1,262.00","1,262.00","1,262.00","1,262.00","","-1.10%"
"03/03/2025","1,276.00","1,276.00","1,276.00","1,276.00","","3.82%"
"02/28/2025","1,229.00","1,229.00","1,229.00","1,229.00","","6.04%"
"02/27/2025","1,159.00","1,159.00","1,159.00","1,159.00","","4.23%"
"02/26/2025","1,112.00","1,112.00","1,112.00","1,112.00","","7.03%"
"02/25/2025","1,039.00","1,039.00","1,039.00","1,039.00","","3.69%"
"02/24/2025","1,002.00","1,002.00","1,002.00","1,002.00","","2.14%"
"02/21/2025","981.00","981.00","981.00","981.00","","4.25%"
"02/20/2025","941.00","941.00","941.00","941.00","","4.09%"
