Data;Selic - % a.d.,
08/11/2019;0,18985
11/11/2019;0,18985
12/11/2019;0,18985
13/11/2019;0,18985
14/11/2019;0,18985
18/11/2019;0,18985
19/11/2019;0,18985
20/11/2019;0,18985
21/11/2019;0,18985
22/11/2019;0,18985
25/11/2019;0,18985
26/11/2019;0,18985
27/11/2019;0,18985
28/11/2019;0,18985
29/11/2019;0,18985
02/12/2019;0,18985
03/12/2019;0,18985
04/12/2019;0,18985
05/12/2019;0,18985
06/12/2019;0,18985
09/12/2019;0,18985
10/12/2019;0,18985
11/12/2019;0,18985
12/12/2019;0,17089
13/12/2019;0,17089
16/12/2019;0,17089
17/12/2019;0,17089
18/12/2019;0,17089
19/12/2019;0,17089
20/12/2019;0,17089
23/12/2019;0,17089
24/12/2019;0,17089
26/12/2019;0,17089
27/12/2019;0,17089
30/12/2019;0,17089
31/12/2019;0,17089
02/01/2020;0,17089
03/01/2020;0,17089
06/01/2020;0,17089
07/01/2020;0,17089
08/01/2020;0,17089
09/01/2020;0,17089
10/01/2020;0,17089
13/01/2020;0,17089
14/01/2020;0,17089
15/01/2020;0,17089
16/01/2020;0,17089
17/01/2020;0,17089
20/01/2020;0,17089
21/01/2020;0,17089
22/01/2020;0,17089
23/01/2020;0,17089
24/01/2020;0,17089
27/01/2020;0,17089
28/01/2020;0,17089
29/01/2020;0,17089
30/01/2020;0,17089
31/01/2020;0,17089
03/02/2020;0,17089
04/02/2020;0,17089
05/02/2020;0,17089
06/02/2020;0,16137
07/02/2020;0,16137
10/02/2020;0,16137
11/02/2020;0,16137
12/02/2020;0,16137
13/02/2020;0,16137
14/02/2020;0,16137
17/02/2020;0,16137
18/02/2020;0,16137
19/02/2020;0,16137
20/02/2020;0,16137
21/02/2020;0,16137
26/02/2020;0,16137
27/02/2020;0,16137
28/02/2020;0,16137
02/03/2020;0,16137
03/03/2020;0,16137
04/03/2020;0,16137
05/03/2020;0,16137
06/03/2020;0,16137
09/03/2020;0,16137
10/03/2020;0,16137
11/03/2020;0,16137
12/03/2020;0,16137
13/03/2020;0,16137
16/03/2020;0,16137
17/03/2020;0,16137
18/03/2020;0,16137
19/03/2020;0,14227
20/03/2020;0,14227
23/03/2020;0,14227
